sequence,MOTA,IDF1,HOTA,IDS
v_00HRwkvvjtQ_c001,0.827776,0.381562,0.357611,217
v_00HRwkvvjtQ_c003,0.855137,0.405818,0.406389,158
v_00HRwkvvjtQ_c005,0.819552,0.442463,0.412525,105
v_00HRwkvvjtQ_c007,0.778724,0.402029,0.367927,137
v_00HRwkvvjtQ_c008,0.786957,0.345687,0.323824,188
v_00HRwkvvjtQ_c011,0.796161,0.38841,0.388687,178
v_4r8QL_wglzQ_c001,0.883295,0.406494,0.420021,155
v_5ekaksddqrc_c001,0.829717,0.524703,0.459635,89
v_5ekaksddqrc_c002,0.882691,0.486844,0.469779,79
v_5ekaksddqrc_c003,0.852627,0.330036,0.365058,160
v_5ekaksddqrc_c004,0.877338,0.421797,0.424323,106
v_5ekaksddqrc_c005,0.864223,0.414131,0.422617,161
v_BgwzTUxJaeU_c008,0.835084,0.488455,0.453588,85
v_BgwzTUxJaeU_c012,0.758835,0.454332,0.422111,172
v_BgwzTUxJaeU_c014,0.753196,0.376421,0.349424,254
v_0kUtTtmLaJA_c004,0.882362,0.586354,0.572986,106
v_0kUtTtmLaJA_c005,0.853131,0.677562,0.61557,64
v_0kUtTtmLaJA_c006,0.837517,0.668205,0.597433,70
v_0kUtTtmLaJA_c007,0.861277,0.689366,0.63017,67
v_0kUtTtmLaJA_c008,0.848223,0.742819,0.664347,68
v_0kUtTtmLaJA_c010,0.845223,0.643715,0.588998,63
v_4-EmEtrturE_c009,0.823698,0.765313,0.684002,35
v_9MHDmAMxO5I_c002,0.800908,0.614462,0.516846,60
v_9MHDmAMxO5I_c003,0.791889,0.646866,0.575253,52
v_9MHDmAMxO5I_c004,0.613561,0.527037,0.465609,90
v_9MHDmAMxO5I_c006,0.745483,0.621067,0.524423,53
v_9MHDmAMxO5I_c009,0.821122,0.571739,0.540369,120
v_cC2mHWqMcjk_c007,0.905929,0.574547,0.564683,114
v_cC2mHWqMcjk_c008,0.873341,0.633321,0.586798,49
v_cC2mHWqMcjk_c009,0.912856,0.68912,0.648705,77
v_2QhNRucNC7E_c017,0.84174,0.680367,0.645219,75
v_dw7LOz17Omg_c053,0.761694,0.56181,0.532542,121
v_dw7LOz17Omg_c067,0.845667,0.684943,0.635274,68
v_G-vNjfx1GGc_c004,0.791569,0.439978,0.445155,145
v_G-vNjfx1GGc_c008,0.79707,0.654677,0.597146,39
v_G-vNjfx1GGc_c600,0.810326,0.575061,0.559851,74
v_G-vNjfx1GGc_c601,0.620274,0.550357,0.469121,131
v_i2_L4qquVg0_c006,0.783529,0.576913,0.544849,156
v_i2_L4qquVg0_c007,0.821044,0.717149,0.658207,53
v_i2_L4qquVg0_c009,0.800277,0.678292,0.627316,112
v_i2_L4qquVg0_c010,0.835633,0.464438,0.484147,141
v_ITo3sCnpw_k_c007,0.737423,0.426774,0.442722,237
v_ITo3sCnpw_k_c010,0.847502,0.703699,0.657101,69
v_ITo3sCnpw_k_c011,0.787182,0.448303,0.468745,176
v_ITo3sCnpw_k_c012,0.809453,0.418207,0.450187,184
OVERALL,0.815227,0.511284,0.51194,5113
