sequence,MOTA,IDF1,HOTA,IDS
v_00HRwkvvjtQ_c001,0.829549,0.378676,0.363897,214
v_00HRwkvvjtQ_c003,0.852365,0.384661,0.3927,188
v_00HRwkvvjtQ_c005,0.812018,0.447705,0.435328,118
v_00HRwkvvjtQ_c007,0.78275,0.381044,0.356417,151
v_00HRwkvvjtQ_c008,0.783812,0.368983,0.355936,209
v_00HRwkvvjtQ_c011,0.795875,0.430214,0.413835,185
v_4r8QL_wglzQ_c001,0.884883,0.405009,0.424135,160
v_5ekaksddqrc_c001,0.832845,0.502619,0.442451,79
v_5ekaksddqrc_c002,0.879728,0.521514,0.498927,83
v_5ekaksddqrc_c003,0.85322,0.32808,0.351482,171
v_5ekaksddqrc_c004,0.873984,0.408087,0.402798,112
v_5ekaksddqrc_c005,0.863903,0.417683,0.427464,153
v_BgwzTUxJaeU_c008,0.831061,0.391314,0.39664,104
v_BgwzTUxJaeU_c012,0.758835,0.484733,0.429447,161
v_BgwzTUxJaeU_c014,0.757629,0.370815,0.34593,224
v_0kUtTtmLaJA_c004,0.859218,0.537598,0.536644,184
v_0kUtTtmLaJA_c005,0.835867,0.586908,0.540713,104
v_0kUtTtmLaJA_c006,0.810526,0.451007,0.433505,134
v_0kUtTtmLaJA_c007,0.818363,0.620479,0.562155,93
v_0kUtTtmLaJA_c008,0.827632,0.555914,0.512794,124
v_0kUtTtmLaJA_c010,0.822317,0.670263,0.584456,106
v_4-EmEtrturE_c009,0.819749,0.716058,0.667888,36
v_9MHDmAMxO5I_c002,0.777441,0.694922,0.573953,100
v_9MHDmAMxO5I_c003,0.789021,0.694031,0.599905,68
v_9MHDmAMxO5I_c004,0.601607,0.522464,0.433614,150
v_9MHDmAMxO5I_c006,0.753172,0.529971,0.46332,81
v_9MHDmAMxO5I_c009,0.826305,0.476996,0.466737,140
v_cC2mHWqMcjk_c007,0.909229,0.565102,0.534875,119
v_cC2mHWqMcjk_c008,0.869752,0.631616,0.595301,60
v_cC2mHWqMcjk_c009,0.897273,0.609781,0.604158,129
v_2QhNRucNC7E_c017,0.818484,0.666667,0.607895,98
v_dw7LOz17Omg_c053,0.758976,0.491869,0.474725,157
v_dw7LOz17Omg_c067,0.835896,0.652896,0.612166,104
v_G-vNjfx1GGc_c004,0.79501,0.604281,0.564307,115
v_G-vNjfx1GGc_c008,0.794446,0.658433,0.60214,37
v_G-vNjfx1GGc_c600,0.767118,0.482839,0.466212,131
v_G-vNjfx1GGc_c601,0.60695,0.60491,0.485457,93
v_i2_L4qquVg0_c006,0.783109,0.507906,0.500656,146
v_i2_L4qquVg0_c007,0.796603,0.73266,0.649135,67
v_i2_L4qquVg0_c009,0.796497,0.586765,0.557613,115
v_i2_L4qquVg0_c010,0.791455,0.449573,0.446064,162
v_ITo3sCnpw_k_c007,0.712372,0.356875,0.386772,385
v_ITo3sCnpw_k_c010,0.840104,0.66455,0.611939,94
v_ITo3sCnpw_k_c011,0.768591,0.449235,0.459784,271
v_ITo3sCnpw_k_c012,0.778711,0.383735,0.424337,236
OVERALL,0.806288,0.490384,0.488814,6151
