sequence,frames,wall_latency_ms_mean,wall_latency_ms_p50,wall_latency_ms_p95,wall_fps_mean,model_latency_ms_mean,model_latency_ms_p50,model_latency_ms_p95
v_00HRwkvvjtQ_c001,1162,21.2242,20.1485,22.4935,47.1161,9.7203,9.4782,10.2251
v_00HRwkvvjtQ_c003,1161,20.2122,19.943,21.852,49.475,9.4759,9.3393,10.096
v_00HRwkvvjtQ_c005,594,20.4141,19.835,22.6375,48.9857,9.7649,9.3769,10.636
v_00HRwkvvjtQ_c007,707,20.0742,19.7864,21.772,49.8152,9.4532,9.3447,9.952
v_00HRwkvvjtQ_c008,972,20.256,20.0246,21.9118,49.3681,9.4908,9.342,10.1681
v_00HRwkvvjtQ_c011,734,20.1078,19.907,21.7168,49.732,9.4681,9.3385,10.089
v_4r8QL_wglzQ_c001,886,18.874,18.6075,20.5818,52.9831,9.5164,9.3743,10.0679
v_5ekaksddqrc_c001,550,18.8267,18.607,20.6293,53.1162,9.6119,9.4762,10.4656
v_5ekaksddqrc_c002,632,18.5071,18.2389,20.4764,54.0333,9.5074,9.3231,10.5478
v_5ekaksddqrc_c003,1215,18.5467,18.3465,20.1189,53.9179,9.4362,9.3,10.1212
v_5ekaksddqrc_c004,824,18.4982,18.3213,20.0928,54.0592,9.4225,9.2865,10.0225
v_5ekaksddqrc_c005,1000,18.8471,18.5796,21.2161,53.0587,9.5718,9.3857,10.7866
v_BgwzTUxJaeU_c008,500,19.9958,19.7648,22.0545,50.0104,9.4273,9.2671,10.1055
v_BgwzTUxJaeU_c012,620,20.5213,20.2918,22.6527,48.73,9.485,9.3334,10.2654
v_BgwzTUxJaeU_c014,1000,20.3477,20.1436,22.1941,49.1456,9.4681,9.2995,10.3643
v_0kUtTtmLaJA_c004,542,19.7059,19.5174,21.3961,50.7461,9.4999,9.3435,10.1392
v_0kUtTtmLaJA_c005,349,19.5612,19.3074,21.5013,51.1217,9.4996,9.3371,10.6159
v_0kUtTtmLaJA_c006,346,20.12,19.4694,21.4912,49.7018,9.9704,9.352,10.2757
v_0kUtTtmLaJA_c007,271,19.5301,19.4024,21.0787,51.203,9.4883,9.37,10.1332
v_0kUtTtmLaJA_c008,266,19.7677,19.5602,21.4579,50.5876,9.5222,9.3319,10.1583
v_0kUtTtmLaJA_c010,270,19.8049,19.6005,21.5143,50.4926,9.5688,9.4192,10.0681
v_4-EmEtrturE_c009,250,19.8102,19.6178,21.2886,50.4791,9.4254,9.3158,10.3497
v_9MHDmAMxO5I_c002,239,20.3943,20.0652,23.059,49.0333,9.5996,9.3774,10.6532
v_9MHDmAMxO5I_c003,226,19.942,19.8522,21.4492,50.1455,9.5167,9.3631,10.1681
v_9MHDmAMxO5I_c004,455,20.3726,20.0891,22.03,49.0856,9.5212,9.3421,10.5256
v_9MHDmAMxO5I_c006,269,20.0887,19.8438,22.7412,49.7792,9.5921,9.4364,10.6121
v_9MHDmAMxO5I_c009,507,19.9709,19.7322,21.9093,50.073,9.5343,9.3714,10.1834
v_cC2mHWqMcjk_c007,681,18.7959,18.6427,20.1011,53.203,9.4972,9.3611,10.1438
v_cC2mHWqMcjk_c008,259,18.918,18.7113,20.1218,52.8596,9.5641,9.4332,10.1346
v_cC2mHWqMcjk_c009,425,19.0674,18.8018,20.851,52.4456,9.5775,9.4235,10.2297
v_2QhNRucNC7E_c017,450,20.8735,20.6488,22.8616,47.9077,9.4883,9.3636,10.1026
v_dw7LOz17Omg_c053,550,21.3755,21.0437,25.0485,46.7825,9.5591,9.3608,10.7763
v_dw7LOz17Omg_c067,450,20.9568,20.8867,22.8345,47.7173,9.5747,9.3761,10.4208
v_G-vNjfx1GGc_c004,675,20.1833,19.9075,21.9852,49.546,9.5125,9.4027,10.1664
v_G-vNjfx1GGc_c008,480,19.5332,18.9965,21.3097,51.1948,9.7619,9.2712,9.9206
v_G-vNjfx1GGc_c600,500,20.4921,20.1689,22.8684,48.7994,9.507,9.3391,10.177
v_G-vNjfx1GGc_c601,481,20.2284,19.8481,24.028,49.4354,9.5958,9.4174,10.8496
v_i2_L4qquVg0_c006,888,20.0003,19.8088,22.0221,49.9993,9.4594,9.3412,9.9869
v_i2_L4qquVg0_c007,451,20.1119,19.7161,23.1514,49.7219,9.6136,9.379,10.8384
v_i2_L4qquVg0_c009,488,20.4178,20.2413,21.9682,48.977,9.4617,9.3332,10.0074
v_i2_L4qquVg0_c010,758,19.6647,19.4445,21.6332,50.8525,9.5294,9.3697,10.4326
v_ITo3sCnpw_k_c007,701,20.4693,20.2486,22.2684,48.8538,9.4607,9.3213,10.0736
v_ITo3sCnpw_k_c010,560,20.0026,19.9342,22.0628,49.9935,9.5114,9.3923,10.102
v_ITo3sCnpw_k_c011,776,20.3727,20.156,22.1848,49.0853,9.5125,9.368,10.1104
v_ITo3sCnpw_k_c012,850,20.0753,19.7087,21.6882,49.8125,9.5349,9.4,10.0931
OVERALL,26970,19.8867,19.6858,22.0263,50.2849,9.5307,9.3606,10.2537
