sequence,frames,wall_latency_ms_mean,wall_latency_ms_p50,wall_latency_ms_p95,wall_fps_mean,model_latency_ms_mean,model_latency_ms_p50,model_latency_ms_p95
v_00HRwkvvjtQ_c001,1162,55.8779,51.5207,79.6216,17.8962,11.0076,10.7353,12.0281
v_00HRwkvvjtQ_c001,1162,44.4238,43.5535,50.0244,22.5104,10.2982,10.1882,11.3209
v_00HRwkvvjtQ_c003,1161,54.3045,49.6642,80.1951,18.4147,10.7931,10.5767,11.6155
v_00HRwkvvjtQ_c005,594,54.8635,49.9879,80.7384,18.227,10.5981,10.4832,11.6037
v_00HRwkvvjtQ_c007,707,60.0027,51.6692,82.8099,16.6659,10.6045,10.5299,11.569
v_00HRwkvvjtQ_c008,972,63.5726,54.5035,86.1003,15.7301,10.679,10.6161,11.6892
v_00HRwkvvjtQ_c011,734,63.4757,55.6407,88.2047,15.7541,10.6734,10.5689,11.5966
v_4r8QL_wglzQ_c001,886,51.1703,50.7071,56.6183,19.5426,10.6207,10.5472,11.6446
v_5ekaksddqrc_c001,550,51.7723,51.3408,57.4531,19.3154,10.7353,10.623,11.7812
v_5ekaksddqrc_c002,632,52.5121,51.9843,59.1453,19.0432,10.5983,10.5353,11.4091
v_5ekaksddqrc_c003,1215,51.8261,51.4824,58.4101,19.2953,10.5883,10.5028,11.594
v_5ekaksddqrc_c004,824,48.318,47.709,52.7763,20.6962,10.5872,10.5021,11.5212
v_5ekaksddqrc_c005,1000,48.2723,47.8973,52.703,20.7158,10.6147,10.5389,11.5096
v_BgwzTUxJaeU_c008,500,60.9123,52.3101,83.6567,16.4171,10.6067,10.566,11.4742
v_BgwzTUxJaeU_c012,620,60.0333,51.4055,82.8957,16.6574,10.6435,10.5399,11.6374
v_BgwzTUxJaeU_c014,1000,55.8139,49.4294,80.8174,17.9167,10.1495,10.0332,11.1375
v_0kUtTtmLaJA_c004,542,49.5334,48.1292,72.6383,20.1884,10.1098,9.9722,11.3388
v_0kUtTtmLaJA_c005,349,49.451,47.461,73.7148,20.222,10.1539,10.0076,11.3609
v_0kUtTtmLaJA_c006,346,47.5627,46.6815,56.278,21.0249,9.9368,9.8507,10.5509
v_0kUtTtmLaJA_c007,271,50.8661,50.3545,56.9446,19.6595,9.9373,9.841,10.7166
v_0kUtTtmLaJA_c008,266,48.6477,47.3994,61.338,20.5559,9.9961,9.9076,10.6139
v_0kUtTtmLaJA_c010,270,50.0104,47.7782,71.8325,19.9959,10.1031,9.9385,11.6175
v_4-EmEtrturE_c009,250,50.2006,47.2572,76.2531,19.9201,9.9419,9.7951,10.7274
v_9MHDmAMxO5I_c002,239,51.7252,48.4544,78.1591,19.3329,9.9985,9.8724,10.8352
v_9MHDmAMxO5I_c003,226,52.9956,49.3287,79.2814,18.8695,10.0494,9.9581,10.7379
v_9MHDmAMxO5I_c004,455,53.7962,50.6422,81.0017,18.5887,9.9957,9.896,10.6953
v_9MHDmAMxO5I_c006,269,53.7789,51.5672,81.0756,18.5947,9.9141,9.7569,10.6947
v_9MHDmAMxO5I_c009,507,53.7785,50.3722,79.879,18.5948,10.1565,10.0374,11.2973
v_cC2mHWqMcjk_c007,681,49.3187,49.2265,53.6375,20.2763,10.019,9.9142,10.7708
v_cC2mHWqMcjk_c008,259,49.681,49.3239,54.0105,20.1284,10.0139,9.9444,10.6821
v_cC2mHWqMcjk_c009,425,49.4591,49.0697,55.4763,20.2187,10.0321,9.8809,11.2294
v_2QhNRucNC7E_c017,450,52.2704,49.69,78.5744,19.1313,10.0688,9.9296,11.1264
v_dw7LOz17Omg_c053,550,54.8087,51.5977,80.7199,18.2453,10.0422,9.933,10.6971
v_dw7LOz17Omg_c067,450,52.9377,50.445,79.5318,18.8901,9.9799,9.8699,10.8033
v_G-vNjfx1GGc_c004,675,49.6964,47.9439,77.049,20.1222,10.0647,9.962,10.9315
v_G-vNjfx1GGc_c008,480,38.5224,37.1728,47.5975,25.9589,10.0168,9.8887,10.9863
v_G-vNjfx1GGc_c600,500,51.5511,48.5003,78.1316,19.3982,9.9276,9.8267,10.6461
v_G-vNjfx1GGc_c601,481,44.1694,44.1608,50.7555,22.6401,10.0136,9.9392,10.655
v_i2_L4qquVg0_c006,888,51.3331,48.7946,77.9556,19.4806,10.0094,9.9194,10.7997
v_i2_L4qquVg0_c007,451,49.3454,47.9629,60.8678,20.2653,9.9624,9.8708,10.6067
v_i2_L4qquVg0_c009,488,50.3981,48.5586,74.8008,19.842,10.0991,9.9625,11.2957
v_i2_L4qquVg0_c010,758,48.7451,48.2005,54.6683,20.5149,10.0433,9.9359,10.8176
v_ITo3sCnpw_k_c007,701,51.7375,49.3497,77.3675,19.3284,10.0204,9.9198,10.8101
v_ITo3sCnpw_k_c010,560,50.8209,48.9014,62.4514,19.6769,10.1395,9.9959,11.3445
v_ITo3sCnpw_k_c011,776,54.4024,49.8404,79.8628,18.3816,10.003,9.9198,10.7303
v_ITo3sCnpw_k_c012,850,50.8263,48.7176,76.4703,19.6749,10.0178,9.9011,10.8102
OVERALL,28132,52.3238,49.4235,80.0226,19.1118,10.313,10.1733,11.4053
